**********
SEED 1
**********
Running Online Backpropagation...
Iteration 1	 Training error: 0.716442	 Test error: 0.725638
Iteration 102	 Training error: 0.633677	 Test error: 0.654285
Iteration 103	 Training error: 0.627451	 Test error: 0.652314
Iteration 104	 Training error: 0.623635	 Test error: 0.653665
Iteration 105	 Training error: 0.619146	 Test error: 0.641026
Iteration 106	 Training error: 0.625556	 Test error: 0.653084
Iteration 107	 Training error: 0.627641	 Test error: 0.658491
Iteration 108	 Training error: 0.627696	 Test error: 0.649365
Iteration 109	 Training error: 0.633439	 Test error: 0.665777
Iteration 110	 Training error: 0.628706	 Test error: 0.655237
Iteration 111	 Training error: 0.63749	 Test error: 0.650435
Iteration 112	 Training error: 0.62776	 Test error: 0.643647
Iteration 113	 Training error: 0.630444	 Test error: 0.648234
Iteration 114	 Training error: 0.630565	 Test error: 0.642159
Iteration 115	 Training error: 0.631784	 Test error: 0.646795
Iteration 116	 Training error: 0.625766	 Test error: 0.652465
Iteration 117	 Training error: 0.620629	 Test error: 0.643118
Iteration 118	 Training error: 0.622669	 Test error: 0.647722
Iteration 119	 Training error: 0.619204	 Test error: 0.646458
Iteration 120	 Training error: 0.618856	 Test error: 0.644571
Iteration 121	 Training error: 0.627441	 Test error: 0.651072
Iteration 122	 Training error: 0.6268	 Test error: 0.651046
Iteration 123	 Training error: 0.624071	 Test error: 0.646269
Iteration 124	 Training error: 0.632996	 Test error: 0.667431
Iteration 125	 Training error: 0.622508	 Test error: 0.64607
Iteration 126	 Training error: 0.628116	 Test error: 0.651735
Iteration 127	 Training error: 0.636267	 Test error: 0.659852
Iteration 128	 Training error: 0.629444	 Test error: 0.659289
Iteration 129	 Training error: 0.628486	 Test error: 0.659227
Iteration 130	 Training error: 0.638325	 Test error: 0.663972
Iteration 131	 Training error: 0.633896	 Test error: 0.666025
Iteration 132	 Training error: 0.631561	 Test error: 0.659796
Iteration 133	 Training error: 0.63619	 Test error: 0.661753
Iteration 134	 Training error: 0.633395	 Test error: 0.66323
Iteration 135	 Training error: 0.639234	 Test error: 0.656005
Iteration 136	 Training error: 0.63639	 Test error: 0.649023
Iteration 137	 Training error: 0.634027	 Test error: 0.655871
Iteration 138	 Training error: 0.633546	 Test error: 0.650756
Iteration 139	 Training error: 0.63421	 Test error: 0.660185
Iteration 140	 Training error: 0.633401	 Test error: 0.657132
Iteration 141	 Training error: 0.629673	 Test error: 0.650783
Iteration 142	 Training error: 0.630539	 Test error: 0.65512
Iteration 143	 Training error: 0.634705	 Test error: 0.652306
Iteration 144	 Training error: 0.629011	 Test error: 0.65648
We exit because the training is not improving!!
Iteration 1001	 Training error: 0.627457	 Test error: 0.653013
NETWORK WEIGHTS
===============
Layer 1
Neuron 0: 18.7151 13.6954 118.626 -24.3045 -34.193 -46.2318 -36.144 -42.5048 -234.99 19.4847 
Neuron 1: -13.9002 -19.1122 -113.829 31.1195 34.8765 45.431 36.3869 46.2154 237.5 -7.96133 
Desired output Vs Obtained output (test)
=========================================
0 -- 1 1 -- 3.39145e-110 
1 -- 1.78903e-11 0 -- 1 
1 -- 1 0 -- 4.31056e-91 
1 -- 9.86271e-09 0 -- 1 
0 -- 1 1 -- 1.92146e-30 
0 -- 1 1 -- 1.87494e-146 
0 -- 1 1 -- 1.78774e-93 
1 -- 1 0 -- 6.8885e-53 
0 -- 1 1 -- 4.66766e-156 
0 -- 1 1 -- 1.2877e-98 
0 -- 9.08243e-18 1 -- 1 
0 -- 1 1 -- 8.0178e-58 
0 -- 0 1 -- 1 
1 -- 4.85253e-95 0 -- 1 
0 -- 1 1 -- 1.26058e-28 
0 -- 1 1 -- 3.88037e-55 
0 -- 1 1 -- 2.88779e-20 
1 -- 3.89194e-101 0 -- 1 
1 -- 1 0 -- 2.88743e-117 
0 -- 4.87491e-12 1 -- 1 
0 -- 1 1 -- 4.56533e-71 
1 -- 1 0 -- 5.12287e-26 
1 -- 1 0 -- 3.85005e-189 
1 -- 1 0 -- 3.25097e-87 
1 -- 1 0 -- 4.66766e-156 
0 -- 1.2358e-33 1 -- 1 
0 -- 0 1 -- 1 
0 -- 7.69154e-129 1 -- 1 
0 -- 3.72844e-266 1 -- 1 
1 -- 1 0 -- 6.68055e-46 
1 -- 1 0 -- 3.02796e-169 
0 -- 1 1 -- 5.74149e-144 
1 -- 7.16116e-77 0 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 6.92455e-82 
1 -- 1 0 -- 3.05212e-36 
0 -- 1 1 -- 9.27873e-145 
1 -- 1 0 -- 4.27335e-44 
1 -- 1 0 -- 2.44883e-152 
0 -- 7.32669e-77 1 -- 1 
1 -- 1 0 -- 1.30983e-157 
0 -- 0 1 -- 1 
1 -- 3.1463e-268 0 -- 1 
1 -- 1 0 -- 5.77402e-61 
0 -- 8.51738e-126 1 -- 1 
1 -- 1 0 -- 1.4655e-79 
1 -- 0.999391 0 -- 0.00456883 
0 -- 7.111e-33 1 -- 1 
1 -- 2.36135e-64 0 -- 1 
0 -- 1 1 -- 6.92865e-59 
0 -- 8.26288e-34 1 -- 1 
0 -- 4.72818e-23 1 -- 1 
0 -- 3.32001e-20 1 -- 1 
0 -- 1 1 -- 3.28163e-14 
0 -- 1 1 -- 8.39906e-91 
1 -- 1 0 -- 7.54135e-21 
0 -- 9.28308e-67 1 -- 1 
0 -- 1 1 -- 6.01349e-74 
0 -- 1 1 -- 2.26236e-126 
1 -- 1 0 -- 6.20222e-21 
1 -- 4.39596e-139 0 -- 1 
0 -- 1.4039e-125 1 -- 1 
1 -- 2.51752e-124 0 -- 1 
1 -- 1 0 -- 8.37582e-53 
0 -- 2.99076e-62 1 -- 1 
0 -- 3.0728e-19 1 -- 1 
1 -- 1 0 -- 2.51078e-78 
1 -- 1 0 -- 2.18676e-11 
1 -- 1 0 -- 3.63287e-78 
0 -- 1 1 -- 2.31711e-33 
1 -- 1 0 -- 1.43019e-130 
0 -- 1 1 -- 1.53683e-131 
0 -- 3.23137e-63 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.49796e-28 
0 -- 1 1 -- 3.76386e-62 
1 -- 5.62272e-46 0 -- 1 
1 -- 1 0 -- 6.74257e-34 
1 -- 1 0 -- 1.57496e-15 
0 -- 1.37725e-96 1 -- 1 
1 -- 1 0 -- 1.11847e-193 
1 -- 1 0 -- 1.30239e-86 
0 -- 1.10579e-257 1 -- 1 
1 -- 1 0 -- 8.21626e-95 
1 -- 1 0 -- 7.52737e-07 
1 -- 1 0 -- 9.27873e-145 
1 -- 1.56716e-13 0 -- 1 
1 -- 1 0 -- 1.03638e-93 
0 -- 1 1 -- 1.92032e-53 
1 -- 1 0 -- 1.04709e-16 
1 -- 6.89053e-16 0 -- 1 
1 -- 1 0 -- 8.54437e-85 
0 -- 5.82106e-58 1 -- 1 
1 -- 1.48103e-60 0 -- 1 
1 -- 7.32864e-27 0 -- 1 
1 -- 1 0 -- 4.58922e-100 
0 -- 8.23676e-131 1 -- 1 
1 -- 1 0 -- 4.64337e-127 
1 -- 1 0 -- 1.17841e-144 
1 -- 1.45064e-240 0 -- 1 
0 -- 1 1 -- 1.5281e-60 
1 -- 1 0 -- 3.42704e-168 
1 -- 1 0 -- 2.28572e-95 
1 -- 0.999999 0 -- 6.99558e-05 
0 -- 2.52914e-41 1 -- 1 
1 -- 1 0 -- 2.77289e-193 
1 -- 1 0 -- 2.34392e-110 
1 -- 1 0 -- 1.61919e-82 
0 -- 1.55935e-25 1 -- 1 
1 -- 1 0 -- 3.59403e-67 
0 -- 3.71364e-33 1 -- 1 
0 -- 1 1 -- 4.96125e-57 
1 -- 1 0 -- 2.49664e-161 
1 -- 8.36182e-53 0 -- 1 
0 -- 1 1 -- 4.27335e-44 
0 -- 6.36993e-74 1 -- 1 
1 -- 1 0 -- 3.67274e-178 
1 -- 2.25119e-08 0 -- 0.00159039 
1 -- 1 0 -- 5.14013e-41 
0 -- 3.1099e-145 1 -- 1 
0 -- 1.34293e-136 1 -- 1 
0 -- 1.4164e-18 1 -- 1 
1 -- 0.999999 0 -- 6.99558e-05 
1 -- 4.10386e-130 0 -- 1 
1 -- 1 0 -- 7.92658e-69 
0 -- 5.08551e-163 1 -- 1 
0 -- 4.87491e-12 1 -- 1 
1 -- 1.01176e-07 0 -- 1 
1 -- 1 0 -- 4.46697e-25 
1 -- 3.04365e-50 0 -- 1 
1 -- 0.999999 0 -- 1 
1 -- 0.00209547 0 -- 0.999926 
0 -- 6.89797e-85 1 -- 1 
0 -- 6.63591e-101 1 -- 1 
1 -- 1 0 -- 5.53747e-80 
1 -- 8.4732e-110 0 -- 1 
0 -- 1 1 -- 2.93601e-37 
1 -- 4.80077e-17 0 -- 1 
1 -- 1 0 -- 2.55953e-86 
0 -- 1 1 -- 6.20222e-21 
0 -- 3.39167e-175 1 -- 1 
1 -- 1 0 -- 5.50367e-121 
0 -- 5.62609e-145 1 -- 1 
1 -- 1 0 -- 8.01829e-146 
1 -- 1 0 -- 1.92123e-95 
1 -- 1 0 -- 6.64796e-120 
1 -- 1 0 -- 5.7746e-62 
1 -- 1 0 -- 1.17841e-144 
1 -- 1 0 -- 3.15426e-132 
1 -- 1 0 -- 5.97962e-157 
0 -- 1 1 -- 1.37586e-28 
1 -- 1 0 -- 5.47502e-92 
0 -- 1.32351e-210 1 -- 1 
0 -- 1 1 -- 1.68715e-137 
0 -- 1 1 -- 2.31848e-10 
1 -- 3.91649e-78 0 -- 1 
0 -- 1 1 -- 2.19338e-91 
0 -- 1.59538e-244 1 -- 1 
1 -- 1 0 -- 1.86518e-117 
1 -- 1 0 -- 3.78844e-60 
0 -- 0 1 -- 1 
1 -- 1 0 -- 8.0178e-58 
1 -- 1 0 -- 9.72988e-43 
1 -- 1 0 -- 5.16948e-112 
0 -- 6.93469e-82 1 -- 1 
1 -- 1 0 -- 9.07898e-33 
0 -- 1 1 -- 5.34224e-08 
1 -- 1 0 -- 3.59191e-90 
1 -- 3.4193e-16 0 -- 1 
1 -- 1 0 -- 6.04919e-95 
1 -- 1 0 -- 2.6831e-97 
0 -- 4.0041e-134 1 -- 1 
0 -- 2.80541e-303 1 -- 1 
0 -- 0.999391 1 -- 0.00456883 
1 -- 1 0 -- 7.7702e-37 
0 -- 7.77893e-268 1 -- 1 
1 -- 1 0 -- 1.67856e-43 
0 -- 2.36135e-64 1 -- 1 
0 -- 1 1 -- 1.04775e-193 
1 -- 0.977569 0 -- 0.49274 
1 -- 1 0 -- 7.56228e-59 
0 -- 1 1 -- 1.42275e-101 
0 -- 1 1 -- 7.72879e-105 
1 -- 1 0 -- 1.75922e-118 
1 -- 1 0 -- 1.87383e-169 
0 -- 7.33166e-22 1 -- 1 
1 -- 6.85889e-99 0 -- 1 
1 -- 1 0 -- 3.63132e-190 
0 -- 1 1 -- 3.4468e-86 
1 -- 1 0 -- 1.91033e-24 
0 -- 1 1 -- 1.11324e-53 
1 -- 1 0 -- 1.8535e-69 
0 -- 1 1 -- 1.71472e-15 
0 -- 1 1 -- 8.65659e-46 
1 -- 1 0 -- 1.37666e-05 
0 -- 0.999999 1 -- 6.99558e-05 
0 -- 3.32001e-20 1 -- 1 
1 -- 1 0 -- 2.21206e-88 
1 -- 1 0 -- 7.53933e-268 
1 -- 6.5047e-70 0 -- 1 
0 -- 1.9275e-135 1 -- 1 
1 -- 1 0 -- 6.15021e-112 
1 -- 1 0 -- 3.85005e-189 
1 -- 1 0 -- 6.20222e-21 
0 -- 1 1 -- 1.34191e-102 
1 -- 1 0 -- 7.56228e-59 
1 -- 1 0 -- 5.01866e-134 
0 -- 1.96825e-217 1 -- 1 
1 -- 1 0 -- 2.31725e-121 
0 -- 2.23431e-09 1 -- 0.999954 
0 -- 1.51948e-95 1 -- 1 
1 -- 1 0 -- 4.24831e-223 
1 -- 1 0 -- 7.97184e-140 
1 -- 1 0 -- 1.12492e-111 
0 -- 1 1 -- 8.0178e-58 
0 -- 2.73953e-59 1 -- 1 
1 -- 1 0 -- 5.43145e-25 
0 -- 9.36427e-07 1 -- 1 
0 -- 1.19498e-90 1 -- 1 
0 -- 1 1 -- 1.46707e-98 
1 -- 1 0 -- 4.60422e-68 
0 -- 2.41166e-161 1 -- 1 
0 -- 3.92598e-41 1 -- 1 
1 -- 1 0 -- 1.22148e-170 
0 -- 1 1 -- 1.24289e-114 
1 -- 8.36182e-53 0 -- 1 
0 -- 1 1 -- 1.2284e-87 
0 -- 1 1 -- 7.98177e-13 
1 -- 1.59965e-24 0 -- 1 
0 -- 1 1 -- 1.86408e-140 
0 -- 1 1 -- 6.79434e-166 
1 -- 1.08918e-102 0 -- 1 
1 -- 7.33166e-22 0 -- 1 
1 -- 1 0 -- 6.30308e-150 
1 -- 1 0 -- 0.999996 
0 -- 0.010784 1 -- 0.124298 
1 -- 1 0 -- 5.09703e-132 
1 -- 1 0 -- 3.8476e-12 
1 -- 2.32052e-100 0 -- 1 
1 -- 1 0 -- 7.17762e-108 
0 -- 4.93983e-69 1 -- 1 
1 -- 1 0 -- 1.34255e-144 
0 -- 1 1 -- 1.55362e-77 
0 -- 0.00209547 1 -- 0.999926 
0 -- 1 1 -- 1.12261e-49 
0 -- 1.13638e-43 1 -- 1 
0 -- 1.59965e-24 1 -- 1 
1 -- 1 0 -- 2.8269e-48 
1 -- 1 0 -- 1.22148e-170 
0 -- 8.26288e-34 1 -- 1 
1 -- 1.29066e-134 0 -- 1 
0 -- 1 1 -- 8.80114e-63 
1 -- 4.98602e-108 0 -- 1 
1 -- 1 0 -- 3.70204e-45 
0 -- 7.33166e-22 1 -- 1 
1 -- 3.18198e-12 0 -- 0.989538 
0 -- 1.68235e-16 1 -- 1 
0 -- 3.14989e-150 1 -- 1 
1 -- 1 0 -- 8.0178e-58 
1 -- 1 0 -- 6.7206e-66 
0 -- 1 1 -- 2.33038e-38 
0 -- 0 1 -- 1 
0 -- 1.59231e-107 1 -- 1 
0 -- 1 1 -- 5.77153e-173 
0 -- 7.02742e-174 1 -- 1 
1 -- 1 0 -- 1.71672e-81 
0 -- 1 1 -- 1.13432e-19 
1 -- 1 0 -- 4.78801e-124 
0 -- 1 1 -- 2.05313e-48 
0 -- 5.23824e-137 1 -- 1 
1 -- 1 0 -- 1.4465e-118 
0 -- 1 1 -- 2.25994e-107 
1 -- 1 0 -- 1.06753e-71 
0 -- 0 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 1.62766e-111 
0 -- 1.2016e-298 1 -- 1 
1 -- 1 0 -- 2.48364e-132 
1 -- 1 0 -- 3.39145e-110 
1 -- 1 0 -- 7.68856e-76 
1 -- 5.01566e-07 0 -- 0.983299 
0 -- 1 1 -- 1.91033e-24 
1 -- 1 0 -- 2.44883e-152 
1 -- 6.20978e-217 0 -- 1 
1 -- 1 0 -- 5.74149e-144 
0 -- 2.96742e-77 1 -- 1 
1 -- 1 0 -- 6.03245e-57 
0 -- 0 1 -- 1 
0 -- 1 1 -- 2.07675e-37 
1 -- 0.999999 0 -- 6.99558e-05 
1 -- 1 0 -- 4.46697e-25 
1 -- 1.04414e-24 0 -- 1 
1 -- 1 0 -- 5.38774e-51 
0 -- 1.86868e-73 1 -- 1 
0 -- 4.52936e-60 1 -- 1 
0 -- 1 1 -- 1.37124e-13 
0 -- 9.69483e-103 1 -- 1 
1 -- 1 0 -- 2.88779e-20 
1 -- 1.16793e-37 0 -- 1 
0 -- 8.16327e-118 1 -- 1 
1 -- 1 0 -- 9.05368e-107 
1 -- 1 0 -- 3.70204e-45 
0 -- 1.03299e-63 1 -- 1 
1 -- 1 0 -- 7.56228e-59 
1 -- 1 0 -- 2.32924e-62 
0 -- 1 1 -- 3.70204e-45 
0 -- 1 1 -- 4.18076e-95 
1 -- 1 0 -- 1.04681e-263 
1 -- 1 0 -- 1.2088e-112 
0 -- 1 1 -- 1.13775e-99 
1 -- 0.154033 0 -- 0.0177093 
1 -- 2.76023e-58 0 -- 1 
1 -- 1 0 -- 6.73538e-15 
1 -- 5.34599e-140 0 -- 1 
1 -- 1 0 -- 5.11338e-12 
1 -- 1 0 -- 6.71703e-177 
0 -- 4.13487e-129 1 -- 1 
1 -- 1 0 -- 1.04999e-54 
0 -- 2.20069e-71 1 -- 1 
0 -- 0.0190646 1 -- 1 
0 -- 4.01416e-113 1 -- 1 
1 -- 1 0 -- 2.84304e-119 
0 -- 7.38705e-21 1 -- 1 
0 -- 0 1 -- 1 
1 -- 1 0 -- 3.91434e-206 
1 -- 4.72818e-23 0 -- 1 
1 -- 1 0 -- 8.80636e-40 
1 -- 2.84918e-150 0 -- 1 
1 -- 1 0 -- 2.8174e-33 
1 -- 2.10851e-26 0 -- 1 
0 -- 0.000710008 1 -- 0.0585923 
1 -- 1 0 -- 2.9954e-70 
1 -- 1 0 -- 1.29561e-57 
0 -- 1.43058e-200 1 -- 1 
1 -- 1 0 -- 6.58908e-169 
1 -- 1.08461e-199 0 -- 1 
0 -- 1.2278e-44 1 -- 1 
1 -- 1 0 -- 3.27094e-46 
1 -- 1 0 -- 5.3597e-22 
1 -- 1 0 -- 2.46164e-181 
1 -- 1 0 -- 2.19925e-82 
1 -- 1 0 -- 1.71672e-81 
1 -- 3.79601e-30 0 -- 1 
1 -- 1 0 -- 3.32685e-102 
0 -- 1.73546e-48 1 -- 1 
0 -- 1 1 -- 6.05278e-72 
0 -- 0 1 -- 1 
0 -- 2.40543e-08 1 -- 1 
0 -- 1 1 -- 2.36813e-79 
0 -- 6.66031e-51 1 -- 1 
1 -- 3.59619e-38 0 -- 1 
1 -- 3.87835e-69 0 -- 1 
1 -- 1.01176e-07 0 -- 1 
0 -- 2.56112e-30 1 -- 1 
1 -- 1.4409e-10 0 -- 0.999999 
1 -- 1 0 -- 4.17463e-10 
0 -- 1 1 -- 8.53932e-108 
1 -- 1 0 -- 6.75898e-137 
1 -- 6.9642e-93 0 -- 1 
1 -- 1 0 -- 3.12915e-65 
1 -- 6.21675e-16 0 -- 1 
0 -- 1.36868e-81 1 -- 1 
1 -- 1 0 -- 1.11265e-164 
0 -- 1 1 -- 3.42851e-56 
1 -- 8.36586e-23 0 -- 1 
1 -- 1 0 -- 3.01077e-98 
1 -- 6.89797e-85 0 -- 1 
1 -- 3.362e-09 0 -- 1 
0 -- 3.32001e-20 1 -- 1 
1 -- 1 0 -- 2.84001e-100 
1 -- 0.999735 0 -- 1.29846e-06 
1 -- 1 0 -- 1.30239e-86 
1 -- 1 0 -- 8.95158e-119 
1 -- 7.70749e-29 0 -- 1 
0 -- 1 1 -- 0.998086 
1 -- 7.73921e-52 0 -- 1 
0 -- 1 1 -- 2.34254e-133 
1 -- 1 0 -- 2.1982e-40 
0 -- 1.01176e-07 1 -- 1 
0 -- 1 1 -- 1.222e-58 
0 -- 1 1 -- 1.45787e-50 
1 -- 1 0 -- 1.6967e-54 
0 -- 1 1 -- 5.7746e-62 
1 -- 1 0 -- 1.71672e-81 
0 -- 1 1 -- 7.34165e-81 
1 -- 1 0 -- 1.20193e-41 
0 -- 1 1 -- 3.87186e-106 
1 -- 1.04021e-190 0 -- 1 
0 -- 6.05263e-182 1 -- 1 
1 -- 1 0 -- 3.68277e-16 
1 -- 4.17605e-94 0 -- 1 
1 -- 0.977569 0 -- 0.49274 
0 -- 1 1 -- 7.52338e-118 
1 -- 1 0 -- 1.02518e-147 
1 -- 1 0 -- 0.160472 
0 -- 1.12653e-103 1 -- 1 
1 -- 3.11005e-135 0 -- 1 
1 -- 1 0 -- 2.13281e-85 
1 -- 1 0 -- 3.85005e-189 
0 -- 1 1 -- 5.12287e-26 
1 -- 1 0 -- 1.05661e-102 
1 -- 1 0 -- 9.775e-95 
1 -- 1 0 -- 1.87294e-127 
1 -- 1 0 -- 7.54615e-198 
0 -- 0.00209547 1 -- 0.999926 
1 -- 1 0 -- 4.22845e-83 
0 -- 1 1 -- 2.25994e-107 
1 -- 1 0 -- 1.2556e-36 
1 -- 6.89053e-16 0 -- 1 
1 -- 1 0 -- 7.52784e-95 
0 -- 0 1 -- 1 
1 -- 1 0 -- 5.48087e-111 
1 -- 1.21859e-45 0 -- 1 
0 -- 1 1 -- 8.92256e-89 
0 -- 1 1 -- 3.46648e-157 
1 -- 1 0 -- 5.16702e-70 
0 -- 1 1 -- 6.26729e-79 
0 -- 1.21859e-45 1 -- 1 
0 -- 1 1 -- 2.24951e-55 
0 -- 4.7373e-160 1 -- 1 
1 -- 0.490428 0 -- 0.000113038 
0 -- 1 1 -- 6.66584e-45 
1 -- 1 0 -- 1.57972e-95 
0 -- 1.01176e-07 1 -- 1 
0 -- 5.42786e-108 1 -- 1 
1 -- 1 0 -- 1.01936e-76 
1 -- 1 0 -- 6.08084e-124 
1 -- 0.00209547 0 -- 0.999926 
1 -- 1 0 -- 8.90499e-90 
1 -- 1 0 -- 2.79606e-101 
0 -- 0 1 -- 1 
0 -- 2.53554e-58 1 -- 1 
1 -- 1 0 -- 1.37124e-13 
0 -- 1 1 -- 3.23405e-58 
0 -- 8.95839e-186 1 -- 1 
1 -- 1 0 -- 1.27433e-40 
1 -- 7.29198e-109 0 -- 1 
1 -- 1.33361e-09 0 -- 1 
1 -- 7.70749e-29 0 -- 1 
1 -- 1 0 -- 3.22423e-267 
1 -- 6.94259e-15 0 -- 1 
0 -- 1.71492e-29 1 -- 1 
1 -- 1 0 -- 1.38388e-34 
0 -- 1.97725e-36 1 -- 1 
1 -- 1 0 -- 1.49796e-28 
1 -- 6.18551e-26 0 -- 1 
1 -- 5.65966e-138 0 -- 1 
0 -- 0.020719 1 -- 0.000984796 
1 -- 1 0 -- 3.86018e-26 
0 -- 3.7938e-188 1 -- 1 
0 -- 4.2157e-119 1 -- 1 
1 -- 1 0 -- 1.25328e-22 
1 -- 1 0 -- 5.87103e-79 
1 -- 1.01176e-07 0 -- 1 
0 -- 0 1 -- 1 
0 -- 1.56677e-44 1 -- 1 
0 -- 1 1 -- 2.34254e-133 
